"Freq [GHz]","dB(St(Feed_thick_T1,Feed_thick_T1)) []"
15.16225,-0.0617773192728077
15.262,-0.0617112053948603
15.36175,-0.0616625226920064
15.4615,-0.0616315470649243
15.56125,-0.0616185870936084
15.661,-0.0616239851607233
15.76075,-0.0616481186757235
15.8605,-0.061691401279665
15.96025,-0.0617542841717121
16.06,-0.061837257442106
16.15975,-0.061940851481052
16.2595,-0.062065638494202
16.35925,-0.062212234013495
16.459,-0.0623812985616752
16.55875,-0.0625735393266055
16.6585,-0.0627897120391498
16.75825,-0.0630306227628711
16.858,-0.0632971300211749
16.95775,-0.0635901468170395
17.0575,-0.0639106429267699
17.15725,-0.0642596472535503
17.257,-0.0646382503008311
17.35675,-0.0650476069322844
17.4565,-0.065488939128263
17.55625,-0.0659635390278584
17.656,-0.0664727721962523
17.75575,-0.0670180810641998
17.8555,-0.0676009886385237
17.95525,-0.0682231025390426
18.055,-0.0688861193266119
18.15475,-0.0695918291553859
18.2545,-0.0703421209783409
18.35425,-0.0711389880525224
18.454,-0.0719845340806388
18.55375,-0.0728809799363657
18.6535,-0.0738306710831439
18.75325,-0.0748360857837848
18.853,-0.0758998441328802
18.95275,-0.0770247183149023
19.0525,-0.0782136437151218
19.15225,-0.0794697316249988
19.252,-0.0807962832550032
19.35175,-0.0821968055396666
19.4515,-0.0836750287569446
19.55125,-0.0852349265631556
19.651,-0.0868807378976712
19.75075,-0.0886169924860458
19.8505,-0.0904485389711458
19.95025,-0.0923805765263462
20.05,-0.0944186908286241
20.14975,-0.0965688947363914
20.2495,-0.0988376737389554
20.34925,-0.101232038176154
20.449,-0.103759581485633
20.54875,-0.106428547385969
20.6485,-0.10924790522897
20.74825,-0.112227436516166
20.848,-0.115377832896118
20.94775,-0.118710809090217
21.0475,-0.122239230677042
21.14725,-0.12597726150815
21.247,-0.129940531772799
21.34675,-0.134146332042423
21.4465,-0.138613834751991
21.54625,-0.143364349444642
21.646,-0.148421616071064
21.74575,-0.153812142029871
21.8455,-0.159565589521224
21.94525,-0.165715220281096
22.045,-0.172298406083587
22.14475,-0.179357212446955
22.2445,-0.186939065841085
22.34425,-0.195097511950195
22.444,-0.203893073716223
22.54375,-0.213394214622031
22.6435,-0.223678409180257
22.74325,-0.234833315064024
22.843,-0.24695802982647
22.94275,-0.260164395667977
23.0425,-0.274578287519363
23.14225,-0.290340773307265
23.242,-0.307608971427267
23.34175,-0.3265563318057
23.4415,-0.347371930046874
23.54125,-0.370258172289508
23.641,-0.395426050535903
23.74075,-0.423086761139386
23.8405,-0.453438110781549
23.94025,-0.486643745133998
24.04,-0.522802961878188
24.13975,-0.561908977325045
24.2395,-0.603794424055871
24.33925,-0.648065200376315
24.439,-0.694028271528957
24.53875,-0.740626028812494
24.6385,-0.786398599585351
24.73825,-0.829503066631447
24.838,-0.867819014777154
24.93775,-0.89915593806567
25.0375,-0.921546404016878
25.13725,-0.933567093692737
25.237,-0.934598893173576
25.33675,-0.924941097842865
25.4365,-0.905740601333155
25.53625,-0.878763550998366
25.636,-0.846087856042213
25.73575,-0.809805803960088
25.8355,-0.77180022719052
25.93525,-0.733617455563147
26.035,-0.696427331070536
26.13475,-0.66104417608866
26.2345,-0.627980786516488
26.33425,-0.597513633728132
26.434,-0.569745612995244
