"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
35,-168,12,4.54485662779182
35,-168,14,4.43863765504733
35,-168,16,4.31866852973455
35,-168,18,4.18654430172447
35,-168,20,4.04394568492355
35,-168,22,3.89260104685474
35,-168,24,3.73424984495172
35,-168,26,3.57060857280488
35,-168,28,3.40334009010224
35,-168,30,3.23402699753501
35,-168,32,3.06414949621382
35,-168,34,2.89506795319841
35,-168,36,2.72801019198667
35,-168,38,2.56406334832015
35,-168,40,2.40416998376896
35,-168,42,2.24912803571755
35,-168,44,2.09959410334029
35,-168,46,1.95608952337751
35,-168,48,1.81900867367696
35,-168,50,1.68862895205654
35,-168,52,1.56512190798016
35,-168,54,1.4485650496218
35,-168,56,1.33895390420456
35,-168,58,1.23621397064743
35,-168,60,1.14021226680861
35,-168,62,1.05076823596922
35,-168,64,0.967663836336247
35,-168,66,0.890652691580422
35,-168,68,0.819468228642687
35,-168,70,0.753830770608278
35,-168,72,0.693453587130527
35,-168,74,0.638047932798729
35,-168,76,0.58732712536928
35,-168,78,0.541009731514427
35,-168,80,0.498821938438163
35,-168,82,0.460499196208371
